DAFTAR  PERALATAN  PRODI TI / TRK,,,,
,,,,
No.,Nama  Peralatan,Spesifikasi,Merek/Jenis,Jumlah
,,,,
1,Action Camera 360,Insta360 X5 8K Action Camera 360 AI Insta 360 X 5 A.I Garansi Resmi - Standard Package,Insta,1
2,Watchy V2.0 - ESP32,Watchy ESP32 Programmable Electronic Watch Ink Screen Angle Viewing Wallpapers Ultralow Freely Power Wide Consumption Can S S7N4,Watchy,5
3,DJI Mini 4 Pro,DJI Mini 4 Pro (DJI RC-N2) - Camera Drone - Mini 4 pro RCN2,DJI,2
4,CANON EOS M50,"CANON EOS M50 KIT 15-45MM IS STM PAKET BONUS 6 ITEM MEMORY 32GB - M50 II KIT LENS, E. 128GB",Canon,2
5,DJI Mic Mini,DJI Mic Mini (2 TX + 1 RX + Charging Case),DJI,2
6,DJI Osmo Pocket 3 Basic Combo,"Sensor 1-inch CMOS,  Layar 2 inch OLED touchscreen, Resolusi video 4K (3840×2160 piksel)
Konektivitas Bluetooth 5.2, BR/EDR & WiFi 802.11 a/b/g/n/ac, Kapasitas baterai 1300 mAh
Dilengkapi fitur ActiveTrack 6.0 & Glamour Effects 2.0,  3-Axis Gimbal Stabilizer,  1"" CMOS Sensor,  Up to 4K120 Resolution,  2"" Rotatable Screen,  Wi-Fi & Bluetooth Support",DJI,1
7,Samsung Galaxy A16 5G 8 GB,"Samsung galaxy A16 5G 8/256 garansi resmi - Green, 8/256 5G",Samsung,3
8, Tablet,HUAWEI MatePad 12 X Tablet | GoPaint | PaperMatte Display | PC-level WPS Office | 66 W SuperCharge,Huawei,2
9,Smart TV,LG Smart TV UHD 4K 65 Inch 65UT8050,LG,3
