NO,KODE SET,NO ITEM,NAMA BARANG,BRAND,JUMLAH,SATUAN,ADA,KEADAAN
1,GT-001,1,Obeng +,Good,2,Buah,v,Baik
2,GT-001,2,Obeng -,Good,2,Buah,v,Baik
3,GT-001,3,Obeng Kunci,Good,1,Buah,v,Baik
4,GT-001,4,T-NOL,Good,1,Rool,v,Baik
5,GT-001,5,Soulder,Good,1,Buah,v,Baik
6,GT-001,6,Pinset,Good,1,Buah,v,Baik
7,GT-001,7,TangCucut,Good,1,Buah,v,Baik
8,GT-001,8,Tang Potong,Good,1,Buah,v,Baik
9,GT-001,9,Kikir,Good,1,Buah,v,Baik
10,GT-001,10,Penyangga Solder,Good,1,Buah,v,Baik
11,GT-002,1,Obeng +,Good,2,Buah,v,Baik
12,GT-002,2,Obeng -,Good,2,Buah,v,Baik
13,GT-002,3,Obeng Kunci,Good,1,Buah,v,Baik
14,GT-002,4,T-NOL,Good,1,Rool,v,Baik
15,GT-002,5,Soulder,Good,1,Buah,v,Baik
16,GT-002,6,Pinset,Good,1,Buah,v,Baik
17,GT-002,7,TangCucut,Good,1,Buah,v,Baik
18,GT-002,8,Tang Potong,Good,1,Buah,v,Baik
19,GT-002,9,Kikir,Good,1,Buah,v,Baik
20,GT-002,10,Penyangga Solder,Good,1,Buah,v,Baik
21,GT-003,1,Obeng +,Good,2,Buah,v,Baik
22,GT-003,2,Obeng -,Good,2,Buah,v,Baik
23,GT-003,3,Obeng Kunci,Good,1,Buah,v,Baik
24,GT-003,4,T-NOL,Good,1,Rool,v,Baik
25,GT-003,5,Soulder,Good,1,Buah,v,Baik
26,GT-003,6,Pinset,Good,1,Buah,v,Baik
27,GT-003,7,TangCucut,Good,1,Buah,v,Baik
28,GT-003,8,Tang Potong,Good,1,Buah,v,Baik
29,GT-003,9,Kikir,Good,1,Buah,v,Baik
30,GT-003,10,Penyangga Solder,Good,1,Buah,v,Baik
31,GT-004,1,Obeng +,Good,2,Buah,v,Baik
32,GT-004,2,Obeng -,Good,2,Buah,v,Baik
33,GT-004,3,Obeng Kunci,Good,1,Buah,v,Baik
34,GT-004,4,T-NOL,Good,1,Rool,v,Baik
35,GT-004,5,Soulder,Good,1,Buah,v,Baik
36,GT-004,6,Pinset,Good,1,Buah,v,Baik
37,GT-004,7,TangCucut,Good,1,Buah,v,Baik
38,GT-004,8,Tang Potong,Good,1,Buah,v,Baik
39,GT-004,9,Kikir,Good,1,Buah,v,Baik
40,GT-004,10,Penyangga Solder,Good,1,Buah,v,Baik
41,GT-005,1,Obeng +,Good,2,Buah,v,Baik
42,GT-005,2,Obeng -,Good,2,Buah,v,Baik
43,GT-005,3,Obeng Kunci,Good,1,Buah,v,Baik
44,GT-005,4,T-NOL,Good,1,Rool,v,Baik
45,GT-005,5,Soulder,Good,1,Buah,v,Baik
46,GT-005,6,Pinset,Good,1,Buah,v,Baik
47,GT-005,7,TangCucut,Good,1,Buah,v,Baik
48,GT-005,8,Tang Potong,Good,1,Buah,v,Baik
49,GT-005,9,Kikir,Good,1,Buah,v,Baik
50,GT-005,10,Penyangga Solder,Good,1,Buah,v,Baik
51,GT-006,1,Obeng +,Good,2,Buah,v,Baik
52,GT-006,2,Obeng -,Good,2,Buah,v,Baik
53,GT-006,3,Obeng Kunci,Good,1,Buah,v,Baik
54,GT-006,4,T-NOL,Good,1,Rool,v,Baik
55,GT-006,5,Soulder,Good,1,Buah,v,Baik
56,GT-006,6,Pinset,Good,1,Buah,v,Baik
57,GT-006,7,TangCucut,Good,1,Buah,v,Baik
58,GT-006,8,Tang Potong,Good,1,Buah,v,Baik
59,GT-006,9,Kikir,Good,1,Buah,v,Baik
60,GT-006,10,Penyangga Solder,Good,1,Buah,v,Baik
61,GT-007,1,Obeng +,Good,2,Buah,v,Baik
62,GT-007,2,Obeng -,Good,2,Buah,v,Baik
63,GT-007,3,Obeng Kunci,Good,1,Buah,v,Baik
64,GT-007,4,T-NOL,Good,1,Rool,v,Baik
65,GT-007,5,Soulder,Good,1,Buah,v,Baik
66,GT-007,6,Pinset,Good,1,Buah,v,Baik
67,GT-007,7,TangCucut,Good,1,Buah,v,Baik
68,GT-007,8,Tang Potong,Good,1,Buah,v,Baik
69,GT-007,9,Kikir,Good,1,Buah,v,Baik
70,GT-007,10,Penyangga Solder,Good,1,Buah,v,Baik
71,GT-008,1,Obeng +,Good,2,Buah,v,Baik
72,GT-008,2,Obeng -,Good,2,Buah,v,Baik
73,GT-008,3,Obeng Kunci,Good,1,Buah,v,Baik
74,GT-008,4,T-NOL,Good,1,Rool,v,Baik
75,GT-008,5,Soulder,Good,1,Buah,v,Baik
76,GT-008,6,Pinset,Good,1,Buah,v,Baik
77,GT-008,7,TangCucut,Good,1,Buah,v,Baik
78,GT-008,8,Tang Potong,Good,1,Buah,v,Baik
79,GT-008,9,Kikir,Good,1,Buah,v,Baik
80,GT-008,10,Penyangga Solder,Good,1,Buah,v,Baik
81,GT-009,1,Obeng +,Good,2,Buah,v,Baik
82,GT-009,2,Obeng -,Good,2,Buah,v,Baik
83,GT-009,3,Obeng Kunci,Good,1,Buah,v,Baik
84,GT-009,4,T-NOL,Good,1,Rool,v,Baik
85,GT-009,5,Soulder,Good,1,Buah,v,Baik
86,GT-009,6,Pinset,Good,1,Buah,v,Baik
87,GT-009,7,TangCucut,Good,1,Buah,v,Baik
88,GT-009,8,Tang Potong,Good,1,Buah,v,Baik
89,GT-009,9,Kikir,Good,1,Buah,v,Baik
90,GT-009,10,Penyangga Solder,Good,1,Buah,v,Baik
91,GT-010,1,Obeng +,Good,2,Buah,v,Baik
92,GT-010,2,Obeng -,Good,2,Buah,v,Baik
93,GT-010,3,Obeng Kunci,Good,1,Buah,v,Baik
94,GT-010,4,T-NOL,Good,1,Rool,v,Baik
95,GT-010,5,Soulder,Good,1,Buah,v,Baik
96,GT-010,6,Pinset,Good,1,Buah,v,Baik
97,GT-010,7,TangCucut,Good,1,Buah,v,Baik
98,GT-010,8,Tang Potong,Good,1,Buah,v,Baik
99,GT-010,9,Kikir,Good,1,Buah,v,Baik
100,GT-010,10,Penyangga Solder,Good,1,Buah,v,Baik
