NO,KATEGORI,NAMA ALAT,BRAND,KODE ALAT,TAHUN,SPESIFIKASI,KONDISI,KETERANGAN,SUMBER FILE
  ▌ ACCESS POINT,,,,,,,,,
1,Access Point,Access Point,TP-Link,WTP/TI-01.21,,TL-MR3420,Baik,,Access_Point__MG_TU__1_.xlsx
2,Access Point,Access Point,TP-Link,WTP/TI-02.18,,TL-WA901ND,Baik,,Access_Point__MG_TU__1_.xlsx
3,Access Point,Access Point,TP-Link,WTP/TI-02.21,,TL-MR3420,Baik,,Access_Point__MG_TU__1_.xlsx
4,Access Point,Access Point,TP-Link,WTP/TI-05.21,,TL-MR3420,Baik,,Access_Point__MG_TU__1_.xlsx
5,Access Point,Access Point,TP-Link,WAP/TI-01.22,,TL-WA901N,Baik,,Access_Point__MG_TU__1_.xlsx
6,Access Point,Access Point,TP-Link,WAP/TI-02.22,,TL-WA901N,Baik,,Access_Point__MG_TU__1_.xlsx
7,Access Point,Access Point,TP-Link,WAP/TI-03.22,,TL-WA901N,Baik,,Access_Point__MG_TU__1_.xlsx
8,Access Point,Access Point,TP-Link,WAP/TI-04.22,,TL-WA901N,Baik,,Access_Point__MG_TU__1_.xlsx
9,Access Point,Access Point,TP-Link,WAP/TI-05.22,,TL-WA901N,Baik,,Access_Point__MG_TU__1_.xlsx
10,Access Point,Access Point,TP-Link,WAP/TI-06.22,,TL-WA901N,Baik,,Access_Point__MG_TU__1_.xlsx
  ▌ ARDUINO / MIKROKONTROLER,,,,,,,,,
11,Arduino / Mikrokontroler,Arduino,Lition,AR/TI-01.25,2025,,Baik,,Arduino1.xlsx
12,Arduino / Mikrokontroler,Arduino,Lition,AR/TI-02.25,2025,,Baik,,Arduino1.xlsx
13,Arduino / Mikrokontroler,Arduino,Samsung,AR/TI-03.25,2025,,Baik,,Arduino1.xlsx
14,Arduino / Mikrokontroler,Arduino,Samsung,AR/TI-04.25,2025,,Baik,,Arduino1.xlsx
15,Arduino / Mikrokontroler,Arduino,Samsung,AR/TI-05.25,2025,,Baik,,Arduino1.xlsx
16,Arduino / Mikrokontroler,Arduino,Samsung,AR/TI-06.25,2025,,Baik,,Arduino1.xlsx
17,Arduino / Mikrokontroler,Arduino,Samsung,AR/TI-07.25,2025,,Baik,,Arduino1.xlsx
18,Arduino / Mikrokontroler,Arduino,,AR/TI-08.25,2025,,Baik,,Arduino1.xlsx
19,Arduino / Mikrokontroler,Arduino,,AR/TI-09.25,2025,,Baik,,Arduino1.xlsx
20,Arduino / Mikrokontroler,Arduino,,AR/TI-10.25,2025,,Baik,,Arduino1.xlsx
21,Arduino / Mikrokontroler,KIT ARDUINO,,AR/TI-27.22,,,Baik (cek komponen),Beberapa komponen tidak ada,Book1_1_.xlsx
22,Arduino / Mikrokontroler,KIT ARDUINO,,AR/TI-03.22,,,Baik (cek komponen),Beberapa komponen tidak ada,Book1_1_.xlsx
23,Arduino / Mikrokontroler,KIT ARDUINO,,TI-17.21,,,Baik (cek komponen),Beberapa komponen tidak ada,Book1_1_.xlsx
24,Arduino / Mikrokontroler,KIT ARDUINO,,AR/TI-04.22,,,Baik (cek komponen),Beberapa komponen tidak ada,Book1_1_.xlsx
25,Arduino / Mikrokontroler,KIT ARDUINO,,AR/TI-14.22,,,Baik (cek komponen),Beberapa komponen tidak ada,Book1_1_.xlsx
26,Arduino / Mikrokontroler,KIT ARDUINO,,TI-11.21,,,Baik (cek komponen),Beberapa komponen tidak ada,Book1_1_.xlsx
27,Arduino / Mikrokontroler,KIT ARDUINO,,AR/T1-05.22,,,Baik (cek komponen),Beberapa komponen tidak ada,Book1_1_.xlsx
28,Arduino / Mikrokontroler,KIT ARDUINO,,AZR/TI-31.22,,,Baik (cek komponen),Beberapa komponen tidak ada,Book1_1_.xlsx
29,Arduino / Mikrokontroler,KIT ARDUINO,,TI/02.21,,,Baik (cek komponen),Beberapa komponen tidak ada,Book1_1_.xlsx
30,Arduino / Mikrokontroler,KIT ARDUINO,,TI/03.21,,,Baik (cek komponen),Beberapa komponen tidak ada,Book1_1_.xlsx
31,Arduino / Mikrokontroler,KIT ARDUINO,,TI/08.21,,,Baik (cek komponen),Beberapa komponen tidak ada,Book1_1_.xlsx
32,Arduino / Mikrokontroler,KIT ARDUINO,,AR/TI-01.22,,,Baik (cek komponen),Beberapa komponen tidak ada,Book1_1_.xlsx
33,Arduino / Mikrokontroler,KIT ARDUINO,,AR/TI-11.22,,,Baik (cek komponen),Beberapa komponen tidak ada,Book1_1_.xlsx
34,Arduino / Mikrokontroler,KIT ARDUINO,,AR/TI-10.22,,,Baik (cek komponen),Beberapa komponen tidak ada,Book1_1_.xlsx
35,Arduino / Mikrokontroler,KIT ARDUINO,,AR/TI-18.22,,,Baik (cek komponen),Beberapa komponen tidak ada,Book1_1_.xlsx
36,Arduino / Mikrokontroler,KIT ARDUINO,,AR/TI-20.22,,,Baik (cek komponen),Beberapa komponen tidak ada,Book1_1_.xlsx
  ▌ CPU / KOMPUTER,,,,,,,,,
37,CPU / Komputer,CPU,DAC,K/D-01.25,2025,i7 | 512GB | 16GB RAM | RTX 3050,Baik,,Data_Lab_SB_II__2026.xlsx
38,CPU / Komputer,CPU,DAC,K/D-02.25,2025,i7 | 512GB | 16GB RAM | RTX 3050,Baik,,Data_Lab_SB_II__2026.xlsx
39,CPU / Komputer,CPU,DAC,K/D-03.25,2025,i7 | 512GB | 16GB RAM | RTX 3050,Baik,,Data_Lab_SB_II__2026.xlsx
40,CPU / Komputer,CPU,DAC,K/D-04.25,2025,i7 | 512GB | 16GB RAM | RTX 3050,Baik,,Data_Lab_SB_II__2026.xlsx
41,CPU / Komputer,CPU,DAC,K/D-05.25,2025,i7 | 512GB | 16GB RAM | RTX 3050,Baik,,Data_Lab_SB_II__2026.xlsx
42,CPU / Komputer,CPU,DAC,K/D-06.25,2025,i7 | 512GB | 16GB RAM | RTX 3050,Baik,,Data_Lab_SB_II__2026.xlsx
43,CPU / Komputer,CPU,DAC,K/D-07.25,2025,i7 | 512GB | 16GB RAM | RTX 3050,Baik,,Data_Lab_SB_II__2026.xlsx
44,CPU / Komputer,CPU,DAC,K/D-08.25,2025,i7 | 512GB | 16GB RAM | RTX 3050,Baik,,Data_Lab_SB_II__2026.xlsx
45,CPU / Komputer,CPU,DAC,K/D-09.25,2025,i7 | 512GB | 16GB RAM | RTX 3050,Baik,,Data_Lab_SB_II__2026.xlsx
46,CPU / Komputer,CPU,DAC,K/D-10.25,2025,i7 | 512GB | 16GB RAM | RTX 3050,Baik,,Data_Lab_SB_II__2026.xlsx
47,CPU / Komputer,CPU,DAC,K/D-11.25,2025,i7 | 512GB | 16GB RAM | RTX 3050,Baik,,Data_Lab_SB_II__2026.xlsx
48,CPU / Komputer,CPU,DAC,K/D-12.25,2025,i7 | 512GB | 16GB RAM | RTX 3050,Adapter Monitor Rusak,,Data_Lab_SB_II__2026.xlsx
49,CPU / Komputer,CPU,DAC,K/D-13.25,2025,i7 | 512GB | 16GB RAM | RTX 3050,Baik,,Data_Lab_SB_II__2026.xlsx
50,CPU / Komputer,CPU,DAC,K/D-14.25,2025,i7 | 512GB | 16GB RAM | RTX 3050,Baik,,Data_Lab_SB_II__2026.xlsx
51,CPU / Komputer,CPU,DAC,K/D-15.25,2025,i7 | 512GB | 16GB RAM | RTX 3050,Baik,,Data_Lab_SB_II__2026.xlsx
52,CPU / Komputer,CPU,DAC,K/D-16.25,2025,i7 | 512GB | 16GB RAM | RTX 3050,Baik,,Data_Lab_SB_II__2026.xlsx
53,CPU / Komputer,CPU,DAC,K/D-17.25,2025,i7 | 512GB | 16GB RAM | RTX 3050,Baik,,Data_Lab_SB_II__2026.xlsx
54,CPU / Komputer,CPU,DAC,K/D-18.25,2025,i7 | 512GB | 16GB RAM | RTX 3050,Baik,,Data_Lab_SB_II__2026.xlsx
55,CPU / Komputer,CPU,DAC,K/D-19.25,2025,i7 | 512GB | 16GB RAM | RTX 3050,Baik,,Data_Lab_SB_II__2026.xlsx
56,CPU / Komputer,CPU,DAC,K/D-20.25,2025,i7 | 512GB | 16GB RAM | RTX 3050,Baik,,Data_Lab_SB_II__2026.xlsx
  ▌ KABEL,,,,,,,,,
57,Kabel,Kabel 3D,Lition,K.3D/TI-01.25,2025,,Baik,,KABEL_3D.xlsx
58,Kabel,Kabel 3D,Lition,K.3D/TI-02.25,2025,,Baik,,KABEL_3D.xlsx
59,Kabel,Kabel 3D,Samsung,K.3D/TI-03.25,2025,,Baik,,KABEL_3D.xlsx
60,Kabel,Kabel 3D,Samsung,K.3D/TI-04.25,2025,,Baik,,KABEL_3D.xlsx
61,Kabel,Kabel 3D,Samsung,K.3D/TI-05.25,2025,,Baik,,KABEL_3D.xlsx
62,Kabel,Kabel 3D,Samsung,K.3D/TI-06.25,2025,,Baik,,KABEL_3D.xlsx
63,Kabel,Kabel 3D,Samsung,K.3D/TI-07.25,2025,,Baik,,KABEL_3D.xlsx
64,Kabel,Kabel 3D,,K.3D/TI-08.25,2025,,Baik,,KABEL_3D.xlsx
65,Kabel,Kabel 3D,,K.3D/TI-09.25,2025,,Baik,,KABEL_3D.xlsx
66,Kabel,Kabel 3D,,K.3D/TI-10.25,2025,,Baik,,KABEL_3D.xlsx
67,Kabel,Kabel HDMI,Lition,HD.V/TI-01.25,2025,,Baik,,KABEL_HDMI.xlsx
68,Kabel,Kabel HDMI,Lition,HD.V/TI-02.25,2025,,Baik,,KABEL_HDMI.xlsx
69,Kabel,Kabel HDMI,Samsung,HD.V/TI-03.25,2025,,Baik,,KABEL_HDMI.xlsx
70,Kabel,Kabel HDMI,Samsung,HD.V/TI-04.25,2025,,Baik,,KABEL_HDMI.xlsx
71,Kabel,Kabel HDMI,Samsung,HD.V/TI-05.25,2025,,Baik,,KABEL_HDMI.xlsx
72,Kabel,Kabel LAN,Lition,Binus/TKJ.01,2025,,Baik,,data_LABEL_LAN.xlsx
73,Kabel,Kabel LAN,Lition,Binus/TKJ.02,2025,,Baik,,data_LABEL_LAN.xlsx
74,Kabel,Kabel LAN,Samsung,Binus/TKJ.03,2025,,Baik,,data_LABEL_LAN.xlsx
75,Kabel,Kabel LAN,Samsung,Binus/TKJ.04,2025,,Baik,,data_LABEL_LAN.xlsx
76,Kabel,Kabel LAN,Samsung,Binus/TKJ.05,2025,,Baik,,data_LABEL_LAN.xlsx
77,Kabel,Kabel LAN,Samsung,Binus/TKJ.06,2025,,Baik,,data_LABEL_LAN.xlsx
