No;Kategori;Nama Alat;Kode / ID Barang;Brand;Model / Spesifikasi;Tahun;Jumlah;Kondisi;Sumber File
Access Point;;;;;;;;;
1;Access Point;Access Point;WTP/TI-01.21;TP-Link;TL-MR3420;;1;Baik;Access_Point_MG_TU.xlsx
2;Access Point;Access Point;WTP/TI-02.18;TP-Link;TL-WA901ND;;1;Baik;Access_Point_MG_TU.xlsx
3;Access Point;Access Point;WTP/TI-02.21;TP-Link;TL-MR3420;;1;Baik;Access_Point_MG_TU.xlsx
4;Access Point;Access Point;WTP/TI-05.21;TP-Link;TL-MR3420;;1;Baik;Access_Point_MG_TU.xlsx
5;Access Point;Access Point;WAP/TI-01.22;TP-Link;TL-WA901N;;1;Baik;Access_Point_MG_TU.xlsx
6;Access Point;Access Point;WAP/TI-02.22;TP-Link;TL-WA901N;;1;Baik;Access_Point_MG_TU.xlsx
7;Access Point;Access Point;WAP/TI-03.22;TP-Link;TL-WA901N;;1;Baik;Access_Point_MG_TU.xlsx
8;Access Point;Access Point;WAP/TI-04.22;TP-Link;TL-WA901N;;1;Baik;Access_Point_MG_TU.xlsx
9;Access Point;Access Point;WAP/TI-05.22;TP-Link;TL-WA901N;;1;Baik;Access_Point_MG_TU.xlsx
10;Access Point;Access Point;WAP/TI-06.22;TP-Link;TL-WA901N;;1;Baik;Access_Point_MG_TU.xlsx
Mikrokontroler;;;;;;;;;
1;Mikrokontroler;Arduino;AR/TI-01.25;Lition;Arduino;2025;1;Baik;Arduino1.xlsx
2;Mikrokontroler;Arduino;AR/TI-02.25;Lition;Arduino;2025;1;Baik;Arduino1.xlsx
3;Mikrokontroler;Arduino;AR/TI-03.25;Samsung;Arduino;2025;1;Baik;Arduino1.xlsx
4;Mikrokontroler;Arduino;AR/TI-04.25;Samsung;Arduino;2025;1;Baik;Arduino1.xlsx
5;Mikrokontroler;Arduino;AR/TI-05.25;Samsung;Arduino;2025;1;Baik;Arduino1.xlsx
6;Mikrokontroler;Arduino;AR/TI-06.25;Samsung;Arduino;2025;1;Baik;Arduino1.xlsx
7;Mikrokontroler;Arduino;AR/TI-07.25;Samsung;Arduino;2025;1;Baik;Arduino1.xlsx
8;Mikrokontroler;Arduino;AR/TI-08.25;;Arduino;2025;1;Baik;Arduino1.xlsx
9;Mikrokontroler;Arduino;AR/TI-09.25;;Arduino;2025;1;Baik;Arduino1.xlsx
10;Mikrokontroler;Arduino;AR/TI-10.25;;Arduino;2025;1;Baik;Arduino1.xlsx
11;Mikrokontroler;Kit Arduino;AR/TI-27.22;;Kit Arduino;2022;1;Baik (ada komp. hilang);Book1.xlsx
12;Mikrokontroler;Kit Arduino;AR/TI-03.22;;Kit Arduino;2022;1;Baik (ada komp. hilang);Book1.xlsx
13;Mikrokontroler;Kit Arduino;TI-17.21;;Kit Arduino;2021;1;Baik (ada komp. hilang);Book1.xlsx
14;Mikrokontroler;Kit Arduino;AR/TI-04.22;;Kit Arduino;2022;1;Baik (ada komp. hilang);Book1.xlsx
15;Mikrokontroler;Kit Arduino;AR/TI-14.22;;Kit Arduino;2022;1;Baik (ada komp. hilang);Book1.xlsx
16;Mikrokontroler;Kit Arduino;TI-11.21;;Kit Arduino;2021;1;Baik (ada komp. hilang);Book1.xlsx
17;Mikrokontroler;Kit Arduino;AR/T1-05.22;;Kit Arduino;2022;1;Baik (ada komp. hilang);Book1.xlsx
18;Mikrokontroler;Kit Arduino;AZR/TI-31.22;;Kit Arduino;2022;1;Baik (ada komp. hilang);Book1.xlsx
19;Mikrokontroler;Kit Arduino;TI/02.21;;Kit Arduino;2021;1;Baik (ada komp. hilang);Book1.xlsx
20;Mikrokontroler;Kit Arduino;TI/03.21;;Kit Arduino;2021;1;Baik (ada komp. hilang);Book1.xlsx
21;Mikrokontroler;Kit Arduino;TI/08.21;;Kit Arduino;2021;1;Baik (ada komp. hilang);Book1.xlsx
22;Mikrokontroler;Kit Arduino;AR/TI-01.22;;Kit Arduino;2022;1;Baik (ada komp. hilang);Book1.xlsx
23;Mikrokontroler;Kit Arduino;AR/TI-11.22;;Kit Arduino;2022;1;Baik (ada komp. hilang);Book1.xlsx
24;Mikrokontroler;Kit Arduino;AR/TI-10.22;;Kit Arduino;2022;1;Baik (ada komp. hilang);Book1.xlsx
25;Mikrokontroler;Kit Arduino;AR/TI-18.22;;Kit Arduino;2022;1;Baik (ada komp. hilang);Book1.xlsx
26;Mikrokontroler;Kit Arduino;AR/TI-20.22;;Kit Arduino;2022;1;Baik (ada komp. hilang);Book1.xlsx
